id,target
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,1
608,1
609,1
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,0
638,0
639,1
640,1
641,1
642,0
643,0
644,0
645,0
646,1
647,1
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,1
665,0
666,0
667,0
668,1
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,0
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,1
712,0
713,0
714,1
715,0
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,1
724,0
725,0
726,1
727,0
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,0
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,0
786,1
787,1
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,0
812,0
